eid,anio,posicion_autor,n_autores_total,nombre_en_fuente,clave_normalizada,clave_apellido,afiliacion_declarada_raw,unidad_academica_raw,unidad_academica,metodo_blando,metodo_duro_publicacion,confianza
2-s2.0-85215072903,2025,4,4,Ferre A.,ferre a,ferre,"Critical Care Department, Finis Terrae University, Faculty of Medicine, Santiago, Chile, Critical Care Department, Clinica Las Condes Hospital, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85210247504,2025,2,2,Hidalgo M.,hidalgo m,hidalgo,"Universidad Técnica Federico Santa María, Valparaíso, Chile, FDI - Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85190421197,2025,9,7,and Senior Lecturer,and senior lecturer,andsenior,"Faculty of Dentistry, Universidad Finis Terrae, Santiago, Chile",Faculty of Dentistry,Facultad de Odontología,True,True,alta
2-s2.0-85211778873,2024,10,13,Orellana-Donoso M.,orellana donoso m,orellanadonoso,"Escuela de Medicina, Universidad Finis Terrae, Santiago, 7501015, Chile, Department of Morphological Sciences, Faculty of Medicine and Science, Universidad San Sebastián, Santiago, 8420524, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85209230270,2024,4,35,Henriquez-Olguín C.,henriquez olguin c,henriquezolguin,"Department of Nutrition, Exercise and Sports, Faculty of Science, University of Copenhagen, Copenhagen, Denmark, Exercise Science Laboratory, Faculty of Medicine, Universidad Finis Terrae, Av. Pedro de Valdivia 1509, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105015052328,2025,2,3,Esis Villarroel I.S.,esis villarroel is,esisvillarroel,"Facultad de Derecho, Universidad Finis Terrae, Santiago, Chile",Facultad de Derecho,Facultad de Derecho,True,True,alta
2-s2.0-105009800568,2025,1,2,Loyola M.T.,loyola mt,loyolamt,"Escuela de Historia, Universidad Finis Terrae, Santiago, Chile",Escuela de Historia,Facultad de Humanidades y Comunicaciones,True,True,alta
2-s2.0-85204901781,2024,1,1,López A.L.,lopez al,lopezal,"Departamento de Derecho Penal, Universidad Finis Terrae, Chile",,No determinada,True,True,alta
2-s2.0-85218051245,2025,2,3,Hidalgo M.,hidalgo m,hidalgo,"Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105013349857,2025,1,1,Letelier Widow G.,letelier widow g,letelierwidow,"Universidad Finis Terrae, Chile",,No determinada,True,True,alta
2-s2.0-85207478741,2024,2,3,de la Cruz P.S.,de la cruz ps,dela,"Universidad Finis Terrae, Chile",,No determinada,True,True,alta
2-s2.0-85207478741,2024,3,3,López Y.M.,lopez ym,lopezym,"Universidad Finis Terrae, Chile",,No determinada,True,True,alta
2-s2.0-105003571817,2025,1,7,Arroyo A.,arroyo a,arroyo,"Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile, Unidad de Cuidados Críticos Coronarios, Clínica Santa María, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105003571817,2025,2,7,Zamorano A.,zamorano a,zamorano,"Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile, Unidad de Cuidados Críticos Coronarios, Clínica Santa María, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105018093154,2025,1,4,Jeria-Espinoza V.,jeria espinoza v,jeriaespinoza,"Center for Exercise Physiology and Metabolism, Department of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105018093154,2025,2,4,Henriquez-Olguin C.,henriquez olguin c,henriquezolguin,"Center for Exercise Physiology and Metabolism, Department of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105034527029,2025,1,3,Undurraga R.,undurraga r,undurraga,"Universidad Finis Terrae, Spain",,No determinada,True,True,alta
2-s2.0-105034527029,2025,2,3,Montalva J.T.,montalva jt,montalvajt,"Universidad Finis Terrae, Spain",,No determinada,True,True,alta
2-s2.0-105034527029,2025,3,3,Barrera E.G.,barrera eg,barreraeg,"Universidad Finis Terrae, Spain",,No determinada,True,True,alta
2-s2.0-105000057258,2025,1,6,Balboa E.,balboa e,balboa,"Center for Biomedical Research, School of Medicine, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85208935712,2025,2,3,Pastén-Henríquez B.,pasten henriquez b,pastenhenriquez,"Facultad de Economía y Negocios, Universidad Finis Terrae, Chile",Facultad de Economía y Negocios,Facultad de Economía y Negocios,True,True,alta
2-s2.0-105009809377,2025,1,1,Reccius-Meza A.,reccius meza a,recciusmeza,"Centro de Paciente Crítico, Departamento de Neurología, Clínica Las Condes, Santiago, Chile, Departamento de Neurología, Clínica Las Condes, Santiago, Chile, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85207676879,2024,6,10,Orellana-Donoso M.I.,orellana donoso mi,orellanadonoso,"Escuela de Medicina, Universidad Finis Terrae, Santiago, 7501015, Chile, Department of Morphological Sciences, Faculty of Medicine and Science, Universidad San Sebastián, Santiago, 7510157, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85185860056,2024,3,8,Perez-Jiménez D.,perez jimenez d,perezjimenez,"Department of Morphology and Function, Faculty of Health, University of the Americas Santiago, Chile, Escuela de Medicina, Universidad Finis Terrae, Santiago, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105029840294,2025,3,5,Hidalgo M.,hidalgo m,hidalgo,"Universidad Finis Terrae, Providencia, Chile",,No determinada,True,True,alta
2-s2.0-85211925904,2025,1,7,Diaz-Pizarro M.,diaz pizarro m,diazpizarro,"Exercise Physiology and Metabolism Laboratory, School of Kinesiology, Finis Terrae University, Santiago, Chile",School of Kinesiology,Escuela de Kinesiología,True,True,alta
2-s2.0-85211925904,2025,2,7,Pino-Zúñiga J.,pino zuniga j,pinozuniga,"Exercise Physiology and Metabolism Laboratory, School of Kinesiology, Finis Terrae University, Santiago, Chile, Bariatric Center BIO, Santiago, Chile",School of Kinesiology,Escuela de Kinesiología,True,True,alta
2-s2.0-85211925904,2025,7,7,Cancino-López J.,cancino lopez j,cancinolopez,"Exercise Physiology and Metabolism Laboratory, School of Kinesiology, Finis Terrae University, Santiago, Chile",School of Kinesiology,Escuela de Kinesiología,True,True,alta
2-s2.0-85214533457,2025,2,11,Ayares G.,ayares g,ayares,"Departamento de Gastroenterología, Escuela de Medicina, Pontificia Universidad Católica de Chile, Santiago, Chile, Universidad Finis Terrae, Escuela de Medicina, Facultad de Medicina, Universidad Fines Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85217797698,2025,7,7,Cancino-Lopez J.,cancino lopez j,cancinolopez,"Exercise Physiology and Metabolism Laboratory, School of Kinesiology, Faculty of Medicine, Finis Terrae University, Santiago, Chile, NFT Center, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105014832499,2025,1,3,Rojas Gonzaga T.,rojas gonzaga t,rojasgonzaga,"Department of Orthopaedics and Traumatology, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85203633929,2024,1,2,Chacana R.A.,chacana ra,chacanara,"Pontificia Universidad Católica de Chile, Chile, Universidad Finis Terrae, Chile, Universidad de Santiago de Chile, Chile",,No determinada,True,True,alta
2-s2.0-105022754408,2025,2,2,Valdés C.Á.,valdes ca,valdesca,"Universidad Finis Terrae, Chile",,No determinada,True,True,alta
2-s2.0-85191944493,2024,1,5,Bassa J.C.,bassa jc,bassajc,"Hospital La Florida, Froilan Roa 6542, La Florida, Santiago, 8242238, CEP, Chile, Universidad Finis Terrae, Av. Pedro de Valdivia 1509, Providencia, Santiago, 7501015, CEP, Chile",,No determinada,True,True,alta
2-s2.0-85191944493,2024,4,5,Aroca Siré P.,aroca sire p,arocasire,"Hospital La Florida, Froilan Roa 6542, La Florida, Santiago, 8242238, CEP, Chile, Universidad Finis Terrae, Av. Pedro de Valdivia 1509, Providencia, Santiago, 7501015, CEP, Chile",,No determinada,True,True,alta
2-s2.0-85191944493,2024,5,5,Muñoz Fuentes C.,munoz fuentes c,munozfuentes,"Universidad Finis Terrae, Av. Pedro de Valdivia 1509, Providencia, Santiago, 7501015, CEP, Chile",,No determinada,True,True,alta
2-s2.0-105012780820,2025,1,2,Mujika I.,mujika i,mujika,"Department of Physiology, Faculty of Medicine and Nursing, University of the Basque Country, Leioa, Spain, Exercise Science Laboratory, School of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105005102289,2025,2,3,López-Arana S.,lopez arana s,lopezarana,"Universidad Nacional de Colombia, Colombia, Universidad Finis Terrae, Universidad de Chile, Chile",,No determinada,True,True,alta
2-s2.0-85217892204,2025,1,2,Zárate A.,zarate a,zarate,"Departamento de Cirugía, Universidad Finis Terrae, Santiago, Chile, Unidad de Coloproctología, Departamento de Cirugía Adultos, Clínica Las Condes, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85217892204,2025,2,2,Triat M.T.,triat mt,triatmt,"Departamento de Cirugía, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105012222866,2025,3,5,Gutierrez M.,gutierrez m,gutierrez,"Department of Pediatrics, Finis Terrae University, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105011212960,2025,1,1,Amarouch García I.,amarouch garcia i,amarouchgarcia,"Laboratorio de Investigación Avanzada, Facultad de Arquitectura y Diseño, Universidad Finis Terrae (FAD-UFT), Santiago de Chile, Chile",Facultad de Arquitectura y Diseño,"Facultad de Arquitectura, Diseño y Estudios Creativos",True,True,alta
2-s2.0-105030132592,2025,1,1,Rugeles F.L.,rugeles fl,rugelesfl,"Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105009929678,2025,1,8,Giglio A.,giglio a,giglio,"Critical Care Department, Universidad Finis Terrae, Santiago, Chile, Critical Care Department, Clínica Las Condes Hospital, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105009929678,2025,3,8,Ferre A.,ferre a,ferre,"Critical Care Department, Universidad Finis Terrae, Santiago, Chile, Critical Care Department, Clínica Las Condes Hospital, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105009929678,2025,4,8,Hasbun P.,hasbun p,hasbun,"Critical Care Department, Universidad Finis Terrae, Santiago, Chile, Critical Care Department, Clínica Las Condes Hospital, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105009929678,2025,8,8,Reccius A.,reccius a,reccius,"Critical Care Department, Universidad Finis Terrae, Santiago, Chile, Critical Care Department, Clínica Las Condes Hospital, Santiago, Chile, Neurology Department, Clínica Las Condes Hospital, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105000516989,2025,1,5,Torres K.,torres k,torres,"Escuela de Nutrición y Dietética, Universidad Finis Terrae, Santiago, Chile",Escuela de Nutrición y Dietética,Escuela de Nutrición y Dietética,True,True,alta
2-s2.0-105000516989,2025,3,5,Orellana C.,orellana c,orellana,"Escuela de Nutrición y Dietética, Universidad Finis Terrae, Santiago, Chile",Escuela de Nutrición y Dietética,Escuela de Nutrición y Dietética,True,True,alta
2-s2.0-105000516989,2025,4,5,Osorio M.,osorio m,osorio,"Escuela de Nutrición y Dietética, Universidad Finis Terrae, Santiago, Chile",Escuela de Nutrición y Dietética,Escuela de Nutrición y Dietética,True,True,alta
2-s2.0-105000516989,2025,5,5,Simón L.,simon l,simon,"Escuela de Nutrición y Dietética, Universidad Finis Terrae, Santiago, Chile",Escuela de Nutrición y Dietética,Escuela de Nutrición y Dietética,True,True,alta
2-s2.0-105023358927,2025,5,7,Figueroa D.,figueroa d,figueroa,"Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85186751610,2024,1,2,Mujika I.,mujika i,mujika,"Department of Physiology, Faculty of Medicine and Nursing, University of the Basque Country, Leioa, Spain, Exercise Science Laboratory, School of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105038048443,2025,2,5,Yanine F.,yanine f,yanine,"Facultad de Ingeniería, Universidad Finis Terrae, Santiago, Chile",Facultad de Ingeniería,Facultad de Ingeniería,True,True,alta
2-s2.0-85124551018,2024,2,3,Valle M.A.,valle ma,vallema,"Facultad de Economía Y Negocios, Universidad Finis Terrae, Santiago, Chile",Facultad de Economía Y Negocios,Facultad de Economía y Negocios,True,True,alta
2-s2.0-105004777660,2025,15,22,Herrero J.,herrero j,herrero,"Laboratorio LaNCE, Centro Interdisciplinario de Neurociencia, Facultad de Medicina, Pontificia Universidad Católica de Chile, Santiago, Chile, Facultad de Medicina, Escuela de Kinesiología, Finis Terrae University, Providencia, Chile",Escuela de Kinesiología,Escuela de Kinesiología,True,True,alta
2-s2.0-85189513161,2024,5,5,Zárate A.,zarate a,zarate,"Unidad de Coloproctología, Clínica Las Condes, Santiago, Chile, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85185493715,2024,1,4,Hernandez A.,hernandez a,hernandez,"Nursing School, Finis Terrae University, Pedro de Valdivia Avenue, 1509, Región Metropolitana, Providencia, Chile",,No determinada,True,True,alta
2-s2.0-85185493715,2024,2,4,Busquets P.,busquets p,busquets,"Nursing School, Finis Terrae University, Pedro de Valdivia Avenue, 1509, Región Metropolitana, Providencia, Chile",,No determinada,True,True,alta
2-s2.0-105005176800,2025,1,1,Muszalski H.,muszalski h,muszalski,"Universidad Finis Terrae Chile, Chile",,No determinada,True,True,alta
2-s2.0-85198397605,2024,6,12,Orellana-Donoso M.,orellana donoso m,orellanadonoso,"Escuela de Medicina, Universidad Finis Terrae, Santiago, 7501015, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85215558958,2025,6,8,Marín G.J.,marin gj,maringj,"Departmento de Biologia, Universidad de Chile, Santiago, Chile, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105002731372,2025,5,6,Strauss F.J.,strauss fj,straussfj,"Clinic of Reconstructive Dentistry, University of Zurich, Zurich, Switzerland, Center for Studies and Innovation in Dentistry, Faculty of Dentistry, Universidad Finis Terrae, Santiago, Chile",Faculty of Dentistry,Facultad de Odontología,True,True,alta
2-s2.0-85198432793,2024,1,4,Stöwhas K.,stowhas k,stowhas,"Department of Rehabilitation, Clínica MEDS, Santiago, 7691236, Chile, Facultad de Medicina, Escuela de Kinesiología, Universidad Finis Terrae, Santiago, 7501014, Chile",Escuela de Kinesiología,Escuela de Kinesiología,True,True,alta
2-s2.0-85194839690,2024,2,3,Fernández-Verdejo R.,fernandez verdejo r,fernandezverdejo,"Laboratorio de Fisiología del Ejercicio y Metabolismo (LABFEM), Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105003392328,2025,1,1,Flores P.C.,flores pc,florespc,"Finis Terrae University, Chile",,No determinada,True,True,alta
2-s2.0-105030880867,2025,1,1,Kobayashi M.A.,kobayashi ma,kobayashima,"Facultad de Artes, Universidad Finis Terrae",Facultad de Artes,Facultad de Artes,True,True,alta
2-s2.0-85205080327,2024,5,9,Cancino-López J.,cancino lopez j,cancinolopez,"Exercise Physiology and Metabolism Laboratory, Escuela de Kinesiología, Universidad Finis Terrae, Santiago, 7501015, Chile",Escuela de Kinesiología,Escuela de Kinesiología,True,True,alta
2-s2.0-85204724653,2024,3,7,Martínez M.M.,martinez mm,martinezmm,"Universidad Finis Terrae, Escuela de Medicina, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105008242401,2025,2,3,Crisóstomo-Flores P.,crisostomo flores p,crisostomoflores,"Universidad Finis Terrae, Chile",,No determinada,True,True,alta
2-s2.0-85193239807,2024,2,4,Farsani D.,farsani d,farsani,"Facultad de Educación, Psicología y Familia, Universidad Finis Terrae, Santiago, Chile",Facultad de Educación,Facultad de Educación y Ciencias Sociales,True,True,alta
2-s2.0-85217709541,2025,11,15,Cancino-López J.,cancino lopez j,cancinolopez,"Laboratorio de Fisiología del Ejercicio y Metabolismo, Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85174728321,2024,6,7,Farsani D.,farsani d,farsani,"Facultad de Educación, Psicología y Familia, Universidad Finis Terrae, Santiago, Chile",Facultad de Educación,Facultad de Educación y Ciencias Sociales,True,True,alta
2-s2.0-105001020192,2025,1,3,Pastén-Henríquez B.,pasten henriquez b,pastenhenriquez,"Facultad de Economía y Negocios, Universidad Finis Terrae, Chile",Facultad de Economía y Negocios,Facultad de Economía y Negocios,True,True,alta
2-s2.0-85209206144,2024,3,3,Fernández-Verdejo R.,fernandez verdejo r,fernandezverdejo,"Laboratorio de Fisiología del Ejercicio y Metabolismo (LABFEM), Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile, Pennington Biomedical Research Center, Louisiana State University, Baton Rouge, LA, United States",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85209173991,2024,2,7,López-Arana S.,lopez arana s,lopezarana,"Escuela de Nutrición y Dietética, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85214579541,2025,2,5,Martínez Galdames B.,martinez galdames b,martinezgaldames,"Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85214559954,2025,4,6,Hartmann D.,hartmann d,hartmann,"Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85214934806,2025,6,6,Gaete M.,gaete m,gaete,"Department of Anatomy, Faculty of Medicine, School of Medicine, Pontificia Universidad Católica de Chile, Santiago, Chile, Center for Studies and Innovation in Dentistry, Faculty of Dentistry, Universidad Finis Terrae, Santiago, Chile",Faculty of Dentistry,Facultad de Odontología,True,True,alta
2-s2.0-85216316930,2025,2,6,Galaz M.T.V.,galaz mtv,galazmtv,"Unidad de Ginecología, Hospital El Carmen Dr. Luis Valentín Ferrada, Camino Rinconada 1202 Maipú, Santiago, 9274443, Chile, Facultad de Medicina, Universidad Finis Terrae, Av. Pedro de Valdivia 1509 Providencia, Región Metropolitana, Santiago, 7501014, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85216316930,2025,3,6,Villarroel N.C.,villarroel nc,villarroelnc,"Unidad de Ginecología, Hospital El Carmen Dr. Luis Valentín Ferrada, Camino Rinconada 1202 Maipú, Santiago, 9274443, Chile, Facultad de Medicina, Universidad Finis Terrae, Av. Pedro de Valdivia 1509 Providencia, Región Metropolitana, Santiago, 7501014, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85216316930,2025,4,6,Martin P.A.Q.S.,martin paqs,martinpaqs,"Unidad de Ginecología, Hospital El Carmen Dr. Luis Valentín Ferrada, Camino Rinconada 1202 Maipú, Santiago, 9274443, Chile, Facultad de Medicina, Universidad Finis Terrae, Av. Pedro de Valdivia 1509 Providencia, Región Metropolitana, Santiago, 7501014, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85216316930,2025,5,6,Landreau C.C.,landreau cc,landreaucc,"Unidad de Ginecología, Hospital El Carmen Dr. Luis Valentín Ferrada, Camino Rinconada 1202 Maipú, Santiago, 9274443, Chile, Facultad de Medicina, Universidad Finis Terrae, Av. Pedro de Valdivia 1509 Providencia, Región Metropolitana, Santiago, 7501014, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85216316930,2025,6,6,Candell M.B.,candell mb,candellmb,"Unidad de Ginecología, Hospital El Carmen Dr. Luis Valentín Ferrada, Camino Rinconada 1202 Maipú, Santiago, 9274443, Chile, Facultad de Medicina, Universidad Finis Terrae, Av. Pedro de Valdivia 1509 Providencia, Región Metropolitana, Santiago, 7501014, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85198476555,2024,7,12,Orellana-Donoso M.,orellana donoso m,orellanadonoso,"Departamento de Morfología, Facultad de Medicina, Universidad Andrés Bello, Santiago, 8370146, Chile, Escuela de Medicina, Universidad Finis Terrae, Santiago, 7501015, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105001299109,2025,2,4,Catalán C.,catalan c,catalan,"Medical Oncology, Universidad Finis Terrae, Santiago, 7501014, Chile",,No determinada,True,True,alta
2-s2.0-105015407727,2025,1,2,Lomboy Finsterbusch M.I.,lomboy finsterbusch mi,lomboyfinsterbusch,"Faculty of Education, Psychology and Family, Finis Terrae University, Santiago, Chile",Faculty of Education,Facultad de Educación y Ciencias Sociales,True,True,alta
2-s2.0-105007903192,2025,1,4,Maldonado-Agurto R.,maldonado agurto r,maldonadoagurto,"Center for Biomedical Research (CIBMED), Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile, Institute of Biomedical Sciences, Faculty of Medicine, Universidad Andres Bello, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85201423875,2024,4,10,Silva A.K.,silva ak,silvaak,"Department of Head and Neck Surgery, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105006776695,2025,1,11,Larrañaga M.,larranaga m,larranaga,"Urology Intern Program, Faculty of Medicine, Finis Terrae University, Santiago, 7501014, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105006776695,2025,2,11,Ibañez H.,ibanez h,ibanez,"Urology Resident Program, Faculty of Medicine, Finis Terrae University, Santiago, 7501014, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85216733698,2025,3,3,Puyol F.,puyol f,puyol,"Faculty of Education, Psychology and Family, University Finis Terrae, Santiago, Chile",Faculty of Education,Facultad de Educación y Ciencias Sociales,True,True,alta
2-s2.0-105013575505,2025,1,6,Balboa E.,balboa e,balboa,"Center for Biomedical Research, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105013575505,2025,2,6,Saud F.,saud f,saud,"Center for Biomedical Research, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105013575505,2025,4,6,Fuente M.D.L.,fuente mdl,fuentemdl,"Center for Biomedical Research, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105013575505,2025,5,6,Landskron G.,landskron g,landskron,"Center for Biomedical Research, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85186067484,2024,2,3,Hartmann Schatloff D.,hartmann schatloff d,hartmannschatloff,"Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105010940955,2025,6,7,Mujika I.,mujika i,mujika,"Department of Physiology, Faculty of Medicine and Nursing, University of the Basque Country, Leioa, Basque Country, Spain, Exercise Science Laboratory, School of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85211105603,2024,4,5,Farsani D.,farsani d,farsani,"Facultad de Educación, Psicología y Familia, Universidad Finis Terrae, Santiago, Chile",Facultad de Educación,Facultad de Educación y Ciencias Sociales,True,True,alta
2-s2.0-85219634773,2025,1,2,Benites M.H.,benites mh,benitesmh,"Facultad de MedicinaEscuela de Medicina, Universidad Finis Terrae, Santiago, Chile, Programa Doctorado en Ciencias MédicasEscuela de Medicina, Pontificia Universidad Católica de Chile, Santiago, Chile, Unidad de Pacientes Críticos, Clínica Las Condes, Santiago, Chile, Departamento de Medicina Intens",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105003413370,2025,2,2,Salas-Guzmán N.,salas guzman n,salasguzman,"Centro de Investigación en Psicología, Educación y Familia, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105015299960,2025,5,11,González A.,gonzalez a,gonzalez,"Department of Psychiatry, School of Medicine, Pontificia Universidad Católica de Chile, Santiago, Chile, School of Medicine, Universidad Finis Terrae, Chile",School of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85215813917,2025,4,15,Henriquez-Olguin C.,henriquez olguin c,henriquezolguin,"August Krogh Section for Human and Molecular Physiology, Department of Nutrition, Exercise and Sports, University of Copenhagen, Copenhagen, Denmark, Exercise Science Laboratory, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105001176342,2025,1,5,Mujika I.,mujika i,mujika,"Department of Physiology, Faculty of Medicine and Nursing, University of the Basque Country, Leioa, 48940, Spain, Exercise Science Laboratory, School of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, 7501014, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105000330260,2025,4,11,Simón L.,simon l,simon,"Cellular Communication Laboratory, Center for Studies on Exercise, Metabolism and Cancer (CEMC), Institute of Biomedical Sciences (ICBM), Faculty of Medicine, University of Chile, Santiago, Chile, Advanced Center for Chronic Diseases (ACCDiS), Faculty of Medicine, University of Chile, Santiago, Chil",,No determinada,True,True,alta
2-s2.0-105004015051,2025,1,3,Fernández-Verdejo R.,fernandez verdejo r,fernandezverdejo,"Pennington Biomedical Research Center, Louisiana State University, Baton Rouge, LA, United States, Centro de Fisiología del Ejercicio y Metabolismo, Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85217907150,2025,2,5,Rojas J.P.,rojas jp,rojasjp,"Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85217907150,2025,3,5,de Vos V.,de vos v,devos,"Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85217907150,2025,4,5,Cid N.,cid n,cid,"Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85217907150,2025,5,5,Verschae G.,verschae g,verschae,"Instituto de Seguridad del Trabajo, Santiago, Chile, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile, Departamento de Traumatología y Ortopedia, Clínica Las Condes, Las Condes, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85211207629,2024,1,1,Rego T.,rego t,rego,"Dirección de Filosofía y Formación General, Universidad Finis Terrae, Chile",,No determinada,True,True,alta
2-s2.0-85201517464,2024,1,1,Dreyse J.,dreyse j,dreyse,"Departamento de Medicina Interna, Clínica Las Condes, Santiago, Chile, Centro de Pacientes Críticos, Clínica Las Condes, Santiago, Chile, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
